graph_id,file_name
G01,Readings_2023-12-09.png
G02,Readings_2023-12-10.png
G03,Readings_2023-12-11.png
G04,Readings_2023-12-15.png
G05,Readings_2023-12-16.png
G06,Readings_2023-12-17.png
G07,Readings_2023-12-21.png
G08,Readings_2023-12-23.png
G09,Readings_2023-12-24.png
G10,Readings_2023-12-25.png
G11,Readings_2023-12-26.png
G12,Readings_2023-12-27 copy.png
G13,Readings_2023-12-27.png
G14,Readings_2023-12-28 copy.png
G15,Readings_2023-12-28.png
G16,Readings_2023-12-29.png
G17,Readings_2023-12-30.png
G18,Readings_2024-01-02.png
G19,Readings_2024-01-03.png
G20,Readings_2024-01-04 copy.png
G21,Readings_2024-01-04.png
G22,Readings_2024-01-05.png
G23,Readings_2024-01-06 copy.png
G24,Readings_2024-01-06.png
G25,Readings_2024-01-07.png
G26,Readings_2024-01-10.png
G27,Readings_2024-02-02.png
G28,Readings_2024-02-03.png
G29,Readings_2024-02-07.png
G30,Readings_2024-02-08.png
G31,Readings_2024-02-09.png
G32,Readings_2024-02-13.png
G33,Readings_2024-02-14.png
G34,Readings_2024-02-15.png
G35,Readings_2024-03-04.png
G36,Readings_2024-03-05.png
G37,Readings_2024-03-06.png
G38,Readings_2024-03-07.png
G39,Readings_2024-03-08.png
G40,Readings_2024-03-09.png
G41,Readings_2024-03-10.png
G42,Readings_2024-03-11.png
G43,Readings_2024-03-13.png
G44,Readings_2024-03-14.png
G45,Readings_2024-03-15.png
